ncessch,lcity,website,is_school_wide_title1,lzip,title1_school_status,is_title1_eligible,total_students,level,fl_eligible,nslp_direct_certification,rl_eligible,frl_eligible,national_school_lunch_program,sch_name,phone,st,county,gslo,gshi,g_pk_offered,g_kg_offered,g_1_offered,g_2_offered,g_3_offered,g_4_offered,g_5_offered,g_6_offered,g_7_offered,g_8_offered,g_9_offered,g_10_offered,g_11_offered,g_12_offered,g_13_offered,g_ug_offered,g_ae_offered,nogrades,sch_type,sy_status,updated_status,effective_date,lea_name,mcity,mzip,mstate
490014200659,SANDY,http://ahs.canyonsdistrict.org/,,84094,6-Not a Title I school,2-No,2286,High,283,,87,370,Yes participating without using any Provision or the CEO,Alta High,8018265600,UT,Salt Lake County,8th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/08/2022,Canyons District,SANDY,84094,UT
60816000790,Alta Loma,http://www.cjuhsd.net,,91701,,,2492,High,857,697,108,965,,Alta Loma High,9099895511,CA,San Bernardino County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/10/2022,Chaffey Joint Union High,Alta Loma,91701,CA
60216000094,Alta Loma,,,91701,,,644,Middle,179,140,22,201,,Alta Loma Junior High,9094845100,CA,San Bernardino County,7th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/10/2022,Alta Loma Elementary,Alta Loma,91701,CA
63753006339,South San Francisco,,,94080,,,641,Middle,188,156,7,195,,Alta Loma Middle,6508778797,CA,San Mateo County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/10/2022,South San Francisco Unified,South San Francisco,94080,CA
60903010202,Clovis,,,93611,,,1304,Middle,344,289,170,514,,Alta Sierra Intermediate,5593273500,CA,Fresno County,7th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/10/2022,Clovis Unified,Clovis,93611,CA
63864010385,Chula Vista,http://www.sweetwaterschools.org,,91911,,,28,High,25,10,0,25,,Alta Vista Academy,6192165160,CA,San Diego County,7th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Sweetwater Union High,Chula Vista,91911,CA
60141412435,Santa Barbara,http://www.sbunified.org,,93101,,,126,High,70,45,16,86,,Alta Vista Alternative High,8059660883,CA,Santa Barbara County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Santa Barbara Unified,Santa Barbara,93101,CA
350108001104,ANTHONY,http://avechs.gisd.k12.nm.us,1-Yes,88021,5-Title I schoolwide school,1-Yes,211,High,211,86,0,211,Yes under Community Eligibility Option (CEO),ALTA VISTA EARLY COLLEGE HIGH SCHOOL,5758826400,NM,Doña Ana County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/03/2022,GADSDEN INDEPENDENT SCHOOLS,ANTHONY,88021,NM
62631003931,Mountain View,,,94040,,,62,High,23,15,0,23,,Alta Vista High,6506912433,CA,Santa Clara County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Mountain View-Los Altos Union High,Mountain View,94040,CA
64119006812,Vista,http://www.avhs.vistausd.org,,92084,,,122,High,77,59,19,96,,Alta Vista High (Continuation),7607243775,CA,San Diego County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Vista Unified,Vista,92084,CA
40061903097,TUCSON,http://www.altavistahs.com/,1-Yes,85706,5-Title I schoolwide school,1-Yes,464,High,194,194,0,194,Yes participating without using any Provision or the CEO,Alta Vista High School,5202944922,AZ,Pima County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,American Charter Schools Foundation d.b.a. Alta Vi (80995),TUCSON,85706,AZ
60162514154,Hesperia,http://www.innovationaltavista.org,,92345,,,2004,High,1546,1217,103,1649,,Alta Vista Innovation High,7602034846,CA,San Bernardino County,8th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/10/2022,Alta Vista Innovation High District,Hesperia,92345,CA
350216000495,QUESTA,http://www.qisd-nm.schoolloop.com,1-Yes,87556,5-Title I schoolwide school,1-Yes,59,Middle,56,29,0,56,No,ALTA VISTA INTERMEDIATE,5755860032,NM,Taos County,4th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/03/2022,QUESTA INDEPENDENT SCHOOLS,QUESTA,87556,NM
190348000046,Alta,,2-No,51002,1-Title I targeted assistance eligible school-No program,1-Yes,208,High,48,,22,70,Yes participating without using any Provision or the CEO,Alta-Aurelia High School,7122001331,IA,Buena Vista County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,12/14/2021,Alta-Aurelia Comm School District,Alta,51002,IA
190348002252,Aurelia,http://www.alta-aurelia.org/,1-Yes,51005,3-Title I schoolwide eligible-Title I targeted assistance program,1-Yes,224,Middle,65,,28,93,Yes participating without using any Provision or the CEO,Alta-Aurelia Middle Sch,7124345595,IA,Cherokee County,5th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,12/14/2021,Alta-Aurelia Comm School District,Aurelia,51005,IA
490024000158,ALTAMONT,http://www.dcsd.org/AltamontHigh.cfm?subpage=436212,,84001,6-Not a Title I school,2-No,244,High,42,,25,67,Yes participating without using any Provision or the CEO,Altamont High,4357381345,UT,Duchesne County,7th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/08/2022,Duchesne District,ALTAMONT,84001,UT
170351000034,Altamont,http://www.altamontschools.org,1-Yes,62411,4-Title I schoolwide eligible school-No program,1-Yes,251,High,,,,105,No,Altamont High School,6184836194,IL,Effingham County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,02/18/2022,Altamont CUSD 10,Altamont,62411,IL
40477001005,TUCSON,http://www.avms.altarvalleyschools.org/,1-Yes,85735,5-Title I schoolwide school,1-Yes,201,Middle,128,86,20,148,Yes under Community Eligibility Option (CEO),Altar Valley Middle School,5208229343,AZ,Pima County,5th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,1-Yes,2-No,2-No,1-Regular school,1-Open,1-Open,02/23/2022,Altar Valley Elementary District (4418),Tucson,85736,AZ
510060000220,Altavista,,,24517,6-Not a Title I school,2-No,702,High,278,,33,311,,ALTAVISTA HIGH,4343694768,VA,Campbell County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,01/26/2022,CAMPBELL CO PBLC SCHS,Altavista,24517,VA
481770007447,FORT WORTH,http://www.emsisd.com,,76179,6-Not a Title I school,2-No,50,High,27,,3,30,Yes participating without using any Provision or the CEO,ALTER DISCIPLINE CAMPUS,8172387925,TX,Tarrant County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,EAGLE MT-SAGINAW ISD,FORT WORTH,76179,TX
481800001596,ODESSA,,1-Yes,79762,4-Title I schoolwide eligible school-No program,1-Yes,31,High,24,,1,25,Yes participating without using any Provision or the CEO,ALTER ED CTR,4324560049,TX,Ector County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,ECTOR COUNTY ISD,ODESSA,79760,TX
482406007730,EULESS,,1-Yes,76040,4-Title I schoolwide eligible school-No program,1-Yes,6,Middle,,,,,Yes participating without using any Provision or the CEO,ALTER ED PROG,8173543398,TX,Tarrant County,4th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,HURST-EULESS-BEDFORD ISD,EULESS,76040,TX
483294006035,SAN ANTONIO,http://www.neisd.net,1-Yes,78216,4-Title I schoolwide eligible school-No program,1-Yes,106,High,94,,1,95,Yes under Community Eligibility Option (CEO),ALTER H S,2103567400,TX,Bexar County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,NORTH EAST ISD,SAN ANTONIO,78216,TX
480001006990,BUDA,http://www.hayscisd.net,,78610,6-Not a Title I school,2-No,85,High,48,,10,58,Yes participating without using any Provision or the CEO,ALTER IMPACT CTR,5122688473,TX,Hays County,5th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,HAYS CISD,BUDA,78610,TX
482523007014,KEENE,http://www.keeneisd.org,1-Yes,76059,4-Title I schoolwide eligible school-No program,1-Yes,7,High,,,,,Yes under Community Eligibility Option (CEO),ALTER LEARNING CTR,8177745226,TX,Johnson County,11th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,KEENE ISD,KEENE,76059,TX
483294006889,SAN ANTONIO,http://www.neisd.net,1-Yes,78216,4-Title I schoolwide eligible school-No program,1-Yes,51,Middle,43,,1,44,Yes under Community Eligibility Option (CEO),ALTER MIDDLE,2103567400,TX,Bexar County,6th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,NORTH EAST ISD,SAN ANTONIO,78216,TX
483543007363,PORT NECHES,,,77651,6-Not a Title I school,2-No,5,Secondary,,,,,Yes participating without using any Provision or the CEO,ALTER SCH,4097225924,TX,Jefferson County,8th Grade,11th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,PORT NECHES-GROVES ISD,PORT NECHES,77651,TX
482855008420,LUFKIN,http://www.lufkinisd.org,,75904,,,,Not Reported,,,,,,ALTER SCH,9366327203,TX,Angelina County,,,,,,,,,,,,,,,,,,,,,4-Alternative Education School,6-Inactive,6-Inactive,03/07/2022,LUFKIN ISD,LUFKIN,75904,TX
481984021258,FREDERICKSBURG,http://www.FISD.org,,78624,6-Not a Title I school,2-No,17,High,14,,0,14,Yes participating without using any Provision or the CEO,ALTER SCH,8309904598,TX,Gillespie County,11th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,FREDERICKSBURG ISD,FREDERICKSBURG,78624,TX
480765007158,ALBA,http://www.agisd.com,,75410,6-Not a Title I school,2-No,7,Secondary,,,,,Yes participating without using any Provision or the CEO,ALTER SCHOOL,9037682472,TX,Wood County,9th Grade,11th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,ALBA-GOLDEN ISD,ALBA,75410,TX
510007802353,Christiansburg,,,24073,6-Not a Title I school,2-No,0,Not Applicable,,,,,,ALTERN ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,5403816116,VA,Montgomery County,,,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/26/2022,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Christiansburg,24073,VA
481815008442,SAN ANTONIO,http://www.eisd.net,,78237,6-Not a Title I school,2-No,9,Secondary,8,,0,8,Yes under Community Eligibility Option (CEO),ALTERNATIVE CENTER,2108984200,TX,Bexar County,8th Grade,11th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,EDGEWOOD ISD,SAN ANTONIO,78237,TX
120093003190,VERO BEACH,http://www.indianriverschools.org,1-Yes,32960,5-Title I schoolwide school,1-Yes,32,High,26,26,0,26,Yes participating without using any Provision or the CEO,ALTERNATIVE CENTER FOR EDUCATION,7725646240,FL,Indian River County,5th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,08/07/2020,INDIAN RIVER,VERO BEACH,32960,FL
40007901008,TUCSON,http://www.acehs.org,1-Yes,85705,5-Title I schoolwide school,1-Yes,450,High,,,,,No,Alternative Computerized Education (ACE) Charter High School,5206288316,AZ,Pima County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Tucson Youth Development/ACE Charter High School (4422),TUCSON,85705,AZ
390020304727,Akron,http://www.ohdela.com,1-Yes,44320,5-Title I schoolwide school,1-Yes,5500,Other,,3,,,No,Alternative Education Academy,3302538680,OH,Cuyahoga County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,1-Open,1-Open,04/14/2022,Alternative Education Academy,Akron,44320,OH
510246002453,Skipwith,,,23968,6-Not a Title I school,2-No,,Not Applicable,,,,,,ALTERNATIVE EDUCATION CENTER,4347386111,VA,Mecklenburg County,,,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,4-Alternative Education School,1-Open,1-Open,01/26/2022,MECKLENBURG CO PBLC SCHS,Skipwith,23968,VA
510171002439,Stanardsville,,,22973,6-Not a Title I school,2-No,,Not Applicable,,,,,,ALTERNATIVE EDUCATION CENTER,4349399004,VA,Greene County,,,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,4-Alternative Education School,1-Open,1-Open,01/26/2022,GREENE CO PBLC SCHS,Stanardsville,22973,VA
130438004211,Augusta,,,30904,,,,High,,,,,,Alternative Education Center at Lamar,7097964965,GA,Richmond County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,1-Regular school,6-Inactive,6-Inactive,03/29/2022,Richmond County,Augusta,30904,GA
510132002186,Midland,,,22728,6-Not a Title I school,2-No,,Not Applicable,,,,,,ALTERNATIVE EDUCATION CTR.,5404227390,VA,Fauquier County,,,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,4-Alternative Education School,1-Open,1-Open,01/26/2022,FAUQUIER CO PBLC SCHS,Midland,22728,VA
482874008995,MAGNOLIA,http://daep.magnoliaisd.org,,77355,6-Not a Title I school,2-No,1,Secondary,,,,,Yes participating without using any Provision or the CEO,ALTERNATIVE EDUCATION PROGRAM,2812522006,TX,Montgomery County,9th Grade,10th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,2-No,2-No,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,MAGNOLIA ISD,MAGNOLIA,77353,TX
483228008674,NEDERLAND,http://www.nederland.k12.tx.us/AE,,77627,6-Not a Title I school,2-No,0,High,,,,,Yes participating without using any Provision or the CEO,ALTERNATIVE EDUCATION SCHOOL,4097275241,TX,Jefferson County,5th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,NEDERLAND ISD,NEDERLAND,77627,TX
68450009467,Irvine,http://cec.iusd.org,,92606,,,716,Other,191,175,9,200,,Alternative Education-San Joaquin High,9499367440,CA,Orange County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Irvine Unified,Irvine,92606,CA
260103408339,TAWAS CITY,,2-No,48763,1-Title I targeted assistance eligible school-No program,1-Yes,153,High,129,,6,135,Yes under Community Eligibility Option (CEO),Alternative Educational Academy of Iosco County,9893622575,MI,Iosco County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Alternative Educational Academy of Iosco County,TAWAS CITY,48763,MI
260109208670,West Branch,,2-No,48661,1-Title I targeted assistance eligible school-No program,1-Yes,129,High,111,,6,117,Yes under Community Eligibility Option (CEO),Alternative Educational Academy of Ogemaw County,9893623006,MI,Ogemaw County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Alternative Educational Academy of Ogemaw County,West Branch,48661,MI
530502002807,Winthrop,http://methow.org,,98862,6-Not a Title I school,2-No,30,Other,5,5,3,8,No,Alternative Educational Experience,5099969205,WA,Okanogan County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,07/01/2021,Methow Valley School District,Winthrop,98862,WA
63560007437,Santa Cruz,http://bssc.sccs.net/,,95062,,,118,Other,29,26,1,30,,Alternative Family Education,8314293898,CA,Santa Cruz County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,Santa Cruz City High,Santa Cruz,95062,CA
483312006149,SAN ANTONIO,http://nisd.net,,78245,6-Not a Title I school,2-No,167,High,90,,10,100,Yes under Community Eligibility Option (CEO),ALTERNATIVE H S,2103977080,TX,Bexar County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,NORTHSIDE ISD,SAN ANTONIO,78245,TX
341269003111,PATERSON,http://gfa-pps-nj.schoolloop.com/,1-Yes,07501,5-Title I schoolwide school,1-Yes,85,High,54,,0,54,Yes under Community Eligibility Option (CEO),Alternative High School,9733210570,NJ,Passaic County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/27/2022,Paterson Public School District,PATERSON,07501,NJ
340300000223,CHERRY HILL,http://ahs.chclc.org,2-No,08034,2-Title I targeted assistance school,1-Yes,32,High,9,,0,9,Yes participating without using any Provision or the CEO,Alternative High School,8564274311,NJ,Camden County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,1-Regular school,1-Open,1-Open,01/27/2022,Cherry Hill School District,CHERRY HILL,08034,NJ
40395003222,Sells,http://ioalternative.org/index.cfm?pID=7899,1-Yes,85634,5-Title I schoolwide school,1-Yes,66,High,52,39,5,57,Yes under Community Eligibility Option (CEO),Alternative High School (Indian Oasis High School),5207191260,AZ,Pima County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,02/23/2022,Baboquivari Unified School District #40 (4412),SELLS,85634,AZ
120195003810,CRAWFORDVILLE,http://sec.wcsb.us,,32327,6-Not a Title I school,2-No,0,High,,,,,No,ALTERNATIVE HIGH SCHOOL PROGRAM,8509260065,FL,Wakulla County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,12/08/2016,WAKULLA,CRAWFORDVILLE,32327,FL
62691011552,Hayward,http://www.conleycaraballo.com/,,94544,,,9,High,5,3,1,6,,Alternative Learning Academy at Conley-Caraballo High,5104715126,CA,Alameda County,9th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,New Haven Unified,Hayward,94544,CA
10288001155,Seale,http://myrcsd.org,,36875,6-Not a Title I school,2-No,0,High,,,,,Yes participating without using any Provision or the CEO,Alternative Learning Center,3344084986,AL,Russell County,5th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,04/21/2022,Russell County,Seale,36875,AL
10333001395,Troy,http://www.troyschools.net,,36081,6-Not a Title I school,2-No,0,High,,,,,Yes under Community Eligibility Option (CEO),Alternative Learning Center,3345667134,AL,Pike County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,04/21/2022,Troy City,Troy,36081,AL
480894009076,AUSTIN,,,78702,6-Not a Title I school,2-No,58,High,47,,0,47,Yes under Community Eligibility Option (CEO),ALTERNATIVE LEARNING CENTER,5124142554,TX,Travis County,6th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,AUSTIN ISD,AUSTIN,78702,TX
63417010048,Highland,,,92346,,,1332,Other,1019,815,96,1115,,Alternative Learning Center,9093886221,CA,San Bernardino County,Kindergarten,12th Grade,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/10/2022,San Bernardino City Unified,Highland,92346,CA
280477001261,Yazoo City,http://www.masd.k12.ms.us,1-Yes,39194,5-Title I schoolwide school,1-Yes,0,Other,,,,,Yes participating without using any Provision or the CEO,ALTERNATIVE LEARNING CENTER,6627460985,MS,Yazoo County,3rd Grade,12th Grade,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,1-Yes,2-No,2-No,4-Alternative Education School,1-Open,1-Open,01/25/2022,YAZOO CITY MUNICIPAL SCHOOL DIST,Yazoo City,39194,MS
482658006739,ROSENBERG,http://www.lcisd.org,,77471,6-Not a Title I school,2-No,98,Other,67,,0,67,Yes under Community Eligibility Option (CEO),ALTERNATIVE LEARNING CENTER,8322230900,TX,Fort Bend County,4th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,2-No,2-No,2-No,2-No,4-Alternative Education School,1-Open,1-Open,03/07/2022,LAMAR CISD,ROSENBERG,77471,TX
